REF_AREA,REF_AREA_LABEL,TIME_PERIOD,Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Monetary Sector credit to private sector (% GDP),Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)","Portfolio equity, net inflows (BoP, current US$)"
AUS,Australia,1989,59.25490462,59.25490462,59.25490462,46.80451228,14.52252091,31.02803598,8023170407.0,1.008587476,1378705052.0
AUS,Australia,1990,60.55696265,60.55696265,60.55696265,34.65923626,12.90412764,37.23142526,8457776860.0,0.203287234,1239032858.0
AUS,Australia,1991,60.11619952,60.11619952,60.11619952,44.42865059,14.01101768,31.53599645,2612066526.0,-0.359562845,2765146625.0
AUS,Australia,1992,61.8614585,61.8614585,61.8614585,41.519366,12.9194855,31.11676971,4941906672.0,1.178226477,772311095.7
AUS,Australia,1993,63.28126496,63.28126496,63.28126496,65.50600135,21.37580908,32.63183317,5312435142.0,0.815622629,7001587922.0
AUS,Australia,1994,66.76987383,66.76987383,66.76987383,67.80158036,30.8511963,45.50217876,4458484244.0,0.566233881,8158049534.0
AUS,Australia,1995,69.77374858,69.77374858,69.77374858,66.60536676,26.67202942,40.04486532,13268875155.0,1.098865461,2707946240.0
AUS,Australia,1996,71.49676898,71.49676898,71.49676898,77.85814167,36.11982875,46.39184545,4563952446.0,1.2474142,2222441811.0
AUS,Australia,1997,75.31873044,75.31873044,75.31873044,67.89179073,34.48049986,50.78743614,8088068983.0,1.396130978,8948809065.0
AUS,Australia,1998,79.11066689,79.11066689,79.11066689,82.299107,38.91507726,47.28493258,7597610928.0,1.167612267,11063178320.0
AUS,Australia,1999,84.05447935,84.05447935,84.05447935,109.7992894,51.02201241,46.4684359,2210917992.0,0.07990842,11316360789.0
AUS,Australia,2000,87.53517869,87.53517869,87.53517869,89.57789057,51.23493511,57.19596072,14892978180.0,0.983982741,-486136277.3
AUS,Australia,2001,88.35907871,88.35907871,88.35907871,98.81502517,63.36978177,64.1297026,10717133151.0,3.524709281,7388129185.0
AUS,Australia,2002,91.21770335,91.21770335,91.21770335,96.03280837,73.51043699,76.54721156,14656321801.0,1.762139782,464547048.8
AUS,Australia,2003,99.13471053,99.13471053,99.13471053,125.1829739,90.15061991,72.01508091,8985246030.0,3.976112668,12446167748.0
AUS,Australia,2004,102.6115458,102.6115458,102.6115458,126.3141875,88.65427027,70.18552072,42907672820.0,1.591944791,-24585965976.0
AUS,Australia,2005,108.4330782,108.4330782,108.4330782,115.5703647,88.06609945,76.20128196,-25093141435.0,-4.702275134,9668321864.0
AUS,Australia,2006,113.6015097,113.6015097,113.6015097,146.4233357,114.7679802,78.38093543,30551100657.0,3.217793605,14032276724.0
AUS,Australia,2007,120.5118032,120.5118032,120.5118032,151.8483876,160.6137615,105.772451,44440876037.0,1.68662645,14096721123.0
AUS,Australia,2008,121.7134203,121.7134203,121.7134203,64.75367039,79.51179424,122.7911773,45170097261.0,3.019344591,19794714781.0
AUS,Australia,2009,122.5074554,122.5074554,122.5074554,135.8700263,90.60243516,66.683166,28932973453.0,1.234314348,34461080654.0
AUS,Australia,2010,125.1906697,125.1906697,125.1906697,126.599615,98.47219079,77.78237778,35554698682.0,1.572698639,13149531228.0
AUS,Australia,2011,122.1598742,122.1598742,122.1598742,85.66427945,80.68076303,94.18250355,65578266556.0,0.589878576,1307736453.0
AUS,Australia,2012,121.1710748,121.1710748,121.1710748,89.61161162,58.51877596,65.30267105,57571285655.0,0.372412996,14324824733.0
AUS,Australia,2013,124.6899615,124.6899615,124.6899615,86.60093428,49.95120718,57.67975553,54472699004.0,-0.04879888,15560112653.0
AUS,Australia,2014,128.4132289,128.4132289,128.4132289,87.75094424,47.90187366,54.58844241,63204516348.0,1.536559616,10742937991.0
AUS,Australia,2015,136.3063051,136.3063051,136.3063051,87.81703813,55.52992933,63.2336623,46892808568.0,0.610963074,13771755650.0
